population,comparison,metric,metric_description,n_group0,n_group14,mean_group0,mean_group14,median_group0,median_group14,p_value,p_adj,raw_sig,bh_sig,result_summary
Indian Chief,IC0_vs_IC14,Total_PBAA,Broad protein-bound amino acid pool,5,8,787.7566666666665,882.7875,770.26,879.1216666666668,0.6084078002329985,0.6084078002329985,,,Numerically increased in G14
Indian Chief,IC0_vs_IC14,Proline_fraction,Proline / Total PBAA,5,8,0.11019428806679832,0.10901265007527339,0.1102931964982787,0.10890381735740326,0.5100675275575346,0.6084078002329985,,,Numerically decreased in G14
Indian Chief,IC0_vs_IC14,Asx_fraction,Asx / Total PBAA,5,8,0.04711568643959304,0.04982729718142555,0.047539825314819185,0.05044842287286616,0.09229233903407325,0.2307308475851831,,,Numerically increased in G14
Indian Chief,IC0_vs_IC14,Glx_fraction,Glx / Total PBAA,5,8,0.17550589658861637,0.16459695141449684,0.17108941569513325,0.1640974913505346,0.06727796053834902,0.2307308475851831,,,Numerically decreased in G14
Indian Chief,IC0_vs_IC14,N_rich_PBAA_pool,Nitrogen-rich protein-bound amino acid pool,5,8,233.99866666666665,257.9377083333333,227.49333333333334,257.4433333333333,0.42075184336693233,0.6084078002329985,,,Numerically increased in G14
Jarvis,JV0_vs_JV14,Total_PBAA,Broad protein-bound amino acid pool,3,8,981.1544444444444,831.770625,1074.0733333333333,817.1100000000001,0.1845725528398829,0.4359537266899156,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Proline_fraction,Proline / Total PBAA,3,8,0.10599462900197588,0.10768915920444325,0.10766924806395205,0.1086552545231709,0.7594628653799336,0.7594628653799336,,,Numerically increased in G14
Jarvis,JV0_vs_JV14,Asx_fraction,Asx / Total PBAA,3,8,0.04839769409386561,0.04653298183552387,0.048426240293958825,0.045602495605052376,0.26157223601394936,0.4359537266899156,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Glx_fraction,Glx / Total PBAA,3,8,0.17115927877223722,0.16793908445026276,0.17389563716940495,0.16701470806083132,0.7594628653799336,0.7594628653799336,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,N_rich_PBAA_pool,Nitrogen-rich protein-bound amino acid pool,3,8,282.52555555555557,239.28020833333332,312.18333333333334,230.32999999999998,0.1845725528398829,0.4359537266899156,,,Numerically decreased in G14
